1000,Varilla 3/16,100
1010,Varilla 4/32,115
1020,Varilla 3/17,130
1030,Varilla 4/33,145
1040,Varilla 3/18,160
1050,Varilla 4/34,175
1060,Varilla 3/19,190
1070,Varilla 4/35,205
1080,Ladrillos rojos,50
1090,Ladrillos grises,35
1100,Block,30
1110,Megablock,40
1120,Sillar rosa,100
1130,Sillar gris,110
1140,Cantera blanca,200
1150,Cantera gris,1210
1160,Cantera rosa,1420
1170,Cantera amarilla,230
1180,Recubrimiento P1001,200
1190,Recubrimiento P1010,220
1200,Recubrimiento P1019,240
1210,Recubrimiento P1028,250
1220,Recubrimiento P1037,280
1230,Cemento ,300
1240,Arena,200
1250,Grava,100
1260,Gravilla,90
1270,Tezontle,80
1280,Tepetate,34
1290,Tubería 3.5,200
1300,Tubería 4.3,210
1310,Tubería 3.6,220
1320,Tubería 4.4,230
1330,Tubería 3.7,240
1340,Tubería 4.5,250
1350,Tubería 3.8,260
1360,Pintura C1010,125
1370,Pintura B1020,125
1380,Pintura C1011,725
1390,Pintura B1021,125
1400,Pintura C1011,125
1410,Pintura B1021,125
1420,Pintura C1012,125
1430,Pintura B1022,125
